parent_sctid,parent_sctid_2,parent_sctid_3,concept_sctid,fsn,pref_term,kp_clinician_display_name,icd9-CM,icd10-CM,kp_patient_display_name
,,,293432006,3-Hydroxy-3-methylglutaryl coenzyme A reductase inhibitor adverse reaction (disorder),HMG COA reductase inhibitor adverse reaction,Adverse effect of statin,995.29/E942.2,T46.6X5A,Adverse reaction to statin
,,,75100008,Abdominal abscess (disorder),Abdominal abscess,Abdominal abscess,567.22,K65.1,"Abscess, abdominal"
,,,233985008,Abdominal aortic aneurysm (disorder),Abdominal aortic aneurysm,Abdominal aortic aneurysm,441.4,I71.4,Abdominal aortic aneurysm
233985008,,,10706451000119109,"Abdominal aortic aneurysm, 30-34 mm (disorder)","Abdominal aortic aneurysm, 30-34 mm",Abdominal aortic aneurysm 30-34 mm,441.4,I71.4,Abdominal aortic aneurysm 30-34 mm
233985008,,,690861000119109,"Abdominal aortic aneurysm, 35-39 mm (disorder)","Abdominal aortic aneurysm, 35-39 mm",Abdominal aortic aneurysm 35-39 mm,441.4,I71.4,Abdominal aortic aneurysm 35-39 mm
233985008,,,10706411000119108,"Abdominal aortic aneurysm, >39 mm (disorder)","Abdominal aortic aneurysm, >39 mm",Abdominal aortic aneurysm >39 mm,441.4,I71.4,Abdominal aortic aneurysm >39 mm
47040006,,,142121000119101,Abdominal aortic ectasia (disorder),Abdominal aortic ectasia,Abdominal aortic ectasia,447.72,I77.811,Abdominal aortic ectasia
,,,116289008,Abdominal bloating (finding),Abdominal bloating,Abdominal bloating,787.3,R14.0,Abdominal bloating
,,,271860004,Abdominal mass (finding),Abdominal mass,Abdominal mass,789.30,R19.00,Abdominal mass
,,,21522001,Abdominal pain (finding),Abdominal pain,Abdominal pain,789.00,R10.9,Abdominal pain
,,,162042000,Abdominal wall pain (finding),Abdominal wall pain,Abdominal wall pain,789.09,R10.9,Abdominal wall pain
441988000,,,15634181000119107,Abnormal abdominal CT scan (finding),Abnormal abdominal CT scan,Abnl abdominal CT scan,793.6,R93.5,Abnormal abdominal CT scan
,,,439855007,Abnormal anal Papanicolaou smear (finding),Abnormal anal Papanicolaou smear,Abnl anal Pap,796.70,R85.619,Abnormal anal Pap
,,,25786006,Abnormal behavior (finding),Abnormal behavior,Behavior disorder,312.9,F91.9,Behavior disorder
,,,439888000,Abnormal cervical Papanicolaou smear (finding),Abnormal cervical Papanicolaou smear,Abnl cervical Pap,795.00,R87.619,Abnormal cervical Pap
129679001,,,116141000119103,Abnormal computed tomography (CT) of head (finding),Abnormal computed tomography,Abnl head CT scan,793.0,R93.0,Abnormal head CT scan
441988000,,,15634131000119106,Abnormal computerized tomography of abdominal wall (finding),Abnormal computerized tomography of abdominal wall,Abnl abdominal MRI,793.6,R93.5,Abnormal abdominal MRI
442717005,,,15634081000119106,Abnormal computerized tomography of biliary tract (finding),Abnormal computerized tomography of biliary tract,Abnl biliary tract ultrasound,793.3,R93.2,Abnormal biliary tract ultrasound
408574004,,,15634221000119104,Abnormal computerized tomography of pelvis (finding),Abnormal computerized tomography of pelvis,Abnl pelvic CT scan,793.6,R93.5,Abnormal pelvic CT scan
169255008,,,28241000119109,Abnormal fetal ultrasound (finding),Abnormal fetal ultrasound,Abnl fetal ultrasound marker,796.5,O28.3,Abnormal fetal ultrasound marker
365853002,,,116131000119107,Abnormal finding on Magnetic Resonance Imaging of head (finding),Abnormal finding on Magnetic Resonance Imaging of head,Abnl head MRI,793.0,R93.0,Abnormal head MRI
,,,274530001,Abnormal findings on diagnostic imaging of breast (finding),Abnormal findings on diagnostic imaging of breast,Abnl breast imaging,793.89,R92.8,Abnormal breast imaging
,,,274533004,Abnormal findings on diagnostic imaging of lung (finding),Abnormal findings on diagnostic imaging of lung,Abnl lung imaging,793.19,R91.8,Abnormal lung imaging
442096005,,,101071000119104,Abnormal findings on neonatal screening (finding),Abnormal findings on neonatal screening,Abnl neonatal screening,796.6,P09,Abnormal findings on neonatal screening
442618008,,,10706051000119100,Abnormal findings on second trimester antenatal screening (disorder),Abnormal findings on second trimester antenatal screening,Abnl antenatal second trimester screen findings,796.5,O28.9,Abnormal second trimester screen findings
,,,22325002,Abnormal gait (finding),Abnormal gait,Gait abnormality,781.2,R26.9,Gait abnormality
,,,274858002,Abnormal glucose tolerance test (finding),Abnormal glucose tolerance test,Abnl glucose tolerance test,790.22,R73.09,Abnormal glucose tolerance test
,,,372054004,Abnormal glucose tolerance test during pregnancy - baby not yet delivered (finding),Abnormal glucose tolerance test during pregnancy - baby not yet delivered,Abnl glucose tolerance in pregnancy,648.83,O99.810,Abnormal glucose tolerance test during pregnancy
442618008,,,10762561000119107,Abnormal laboratory finding (finding),Abnormal laboratory finding,Abnl laboratory finding,796.4,R68.89,Abnormal laboratory finding
,,,75183008,Abnormal liver function (finding),Abnormal liver function,Abnl liver function study,794.8,R94.5,Abnormal liver function study
416465001,,,15633801000119105,Abnormal magnetic resonance imaging of breast (finding),Abnormal magnetic resonance imaging of breast,Abnl breast MRI,793.89,R92.8,Abnormal breast MRI
169083003,,,15633841000119107,Abnormal magnetic resonance imaging of pelvis (finding),Abnormal magnetic resonance imaging of pelvis,Abnl pelvic MRI,793.6,R93.5,Abnormal pelvic MRI
,,,441772009,Abnormal presence of alpha-fetoprotein (finding),Abnormal presence of alpha-fetoprotein,Abnl antenatal AFP screen,796.5,O28.1,Abnormal alpha-fetoprotein (AFP) screen
